Survey Response Number,Q1_How many years have you worked for the City?,Q2_Have you ever transferred departments within the City?,AltQ3A_ Additional career advancement opportunities,AltQ3B_ Attractive retention incentives in the new department,AltQ3C_ Better compensation/salary,AltQ3D_ Better management/ co-workers/ department culture,AltQ3E_ Dissatisfaction with how I was treated in my previous department,AltQ3F_ More opportunities for telework/ flexible work hours,Q4A_I intend to be working for the City 1 year from now.,Q4B_I intend to be working for the City 5 years from now.,Q4C_I intend to retire from the City.,"Q5_Since becoming a City of Austin employee, when was the last time you applied for a job outside the City?","Q6A_Benefits (including insurance, vacation, etc.)",Q6B_Career advancement opportunities,Q6C_Commitment to public service,Q6D_Compensation/salary,Q6E_Fair and equitable treatment,Q6F_Management/ co-workers/ department culture,Q6G_Retirement/ pension,Q6H_Telework/ flexible work hours,Q7_Do the training and development opportunities offered by your department improve your desire to stay with the City?,Q8_Do the training and development opportunities offered by the City improve your desire to stay with the City?,Q9A_I am satisfied with my current work/life balance.,Q9B_I feel valued by my management.,Q9C_I would recommend my department to a friend.,Q9D_I would recommend the City as an employer to a friend.,Q10_What Department are you with?,Q11_Does the retention program offered by your department improve your desire to stay with the City? Retention program refers to any monetary incentives added to base pay.
2712,Between 1 and 5 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Neutral,Neutral,Neutral,Over 6 months ago,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,I am unaware of any training or development opportunities offered by my department.,I am unaware of any training or development opportunities offered the City.,Agree,Disagree,Strongly Disagree,Neutral,Austin Water,Yes
2713,6 to 10 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Neutral,Likely,Over 6 months ago,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,No,No,Disagree,Strongly Agree,Neutral,Agree,Parks and Recreation,
2714,Between 1 and 5 years,"Yes, I have transferred between City departments.",Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Likely,Likely,Likely,I have not applied for any jobs outside the City,Very Important,Very Important,Absolutely Essential,Very Important,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,I am unaware of any training or development opportunities offered by my department.,I am unaware of any training or development opportunities offered the City.,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Austin Water,Yes
2715,6 to 10 years,"Yes, I have transferred between City departments.",Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Extremely Likely,Extremely Likely,Likely,I have not applied for any jobs outside the City,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Important,Very Important,Yes,Yes,Agree,Strongly Agree,Strongly Agree,Agree,Watershed Protection,Yes
2716,6 to 10 years,"Yes, I have transferred between City departments.",Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Extremely Likely,Extremely Likely,Extremely Likely,Over 6 months ago,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Development Services Department,Yes
2717,11 to 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Likely,I have not applied for any jobs outside the City,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Of Little Importance,Yes,No,Agree,Agree,Agree,Agree,Austin Energy,Yes
2718,Less than a year,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,Within the past 3 months,Absolutely Essential,Very Important,Not Important At All,Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Important,Not Important At All,I am unaware of any training or development opportunities offered by my department.,No,Strongly Agree,Strongly Disagree,Agree,Agree,Aviation,No
2719,6 to 10 years,"Yes, I have transferred between City departments.",Very Important,Neither Important Nor Unimportant,Absolutely Essential,Very Important,Neither Important Nor Unimportant,Very Important,Extremely Likely,Unlikely,Extremely unlikely,Over 6 months ago,Absolutely Essential,Very Important,Very Important,Very Important,Of Little Importance,Very Important,Very Important,Very Important,Yes,Yes,Agree,Agree,Agree,Agree,Transportation and Public Works,Yes
2720,11 to 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,No,No,Agree,Neutral,Neutral,Strongly Agree,Watershed Protection,Yes
2721,11 to 15 years,"Yes, I have transferred between City departments.",Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Extremely Likely,Likely,Extremely Likely,I have not applied for any jobs outside the City,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,Yes,Agree,Agree,Agree,Agree,Austin Water,Yes
2722,11 to 15 years,"Yes, I have transferred between City departments.",Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Unlikely,Extremely unlikely,Unlikely,Within the past 3 months,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,I am unaware of any training or development opportunities offered by my department.,No,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Capital Delivery Services,
2723,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Likely,Likely,Likely,I have not applied for any jobs outside the City,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,Yes,Neutral,Neutral,Neutral,Neutral,Austin Public Health,I am not aware of any retention programs offered by my department.
2724,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Neutral,Neutral,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Yes,Yes,Disagree,Strongly Agree,Strongly Agree,Agree,Watershed Protection,Yes
2725,Less than a year,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Likely,Extremely unlikely,Over 6 months ago,Absolutely Essential,Very Important,Very Important,Very Important,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Yes,Yes,Strongly Agree,Strongly Agree,Agree,Agree,Communications and Technology Management,
2726,More than 15 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Likely,Likely,Over 6 months ago,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,No,Agree,Neutral,Agree,Agree,Austin Public Library,I am not aware of any retention programs offered by my department.
2727,11 to 15 years,"Yes, I have transferred between City departments.",Neither Important Nor Unimportant,Neither Important Nor Unimportant,Very Important,Very Important,Very Important,Not Important At All,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Not Important At All,Yes,Yes,Neutral,Neutral,Neutral,Neutral,Parks and Recreation,
2728,More than 15 years,"Yes, I have transferred between City departments.",Absolutely Essential,Neither Important Nor Unimportant,Very Important,Very Important,Of Little Importance,Neither Important Nor Unimportant,Extremely Likely,Unlikely,Extremely Likely,Over 6 months ago,Absolutely Essential,Very Important,Very Important,Very Important,Very Important,Very Important,Absolutely Essential,Very Important,Yes,No,Agree,Agree,Agree,Strongly Agree,Austin Public Health,No
2729,More than 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Likely,Unlikely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,I am unaware of any training or development opportunities offered by my department.,I am unaware of any training or development opportunities offered the City.,Agree,Disagree,Neutral,Neutral,EMS and this is why i dont feel valued by the city. They dont include us in the department drop down list!!!!!,I am not aware of any retention programs offered by my department.
2730,11 to 15 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,I am unaware of any training or development opportunities offered by my department.,Yes,Agree,Neutral,Strongly Agree,Strongly Agree,Transportation and Public Works,I am not aware of any retention programs offered by my department.
2731,More than 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Very Important,Of Little Importance,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,No,No,Neutral,Agree,Agree,Agree,Watershed Protection,I am not eligible for my department's retention program.
